,arrival,parking_entry,kiosk,department_entrance,department_exit,parking_exit,departure,visit_time,parking_entry_wait,kiosk_wait,department_entrance_wait,department_exit_wait,parking_exit_wait,departure_wait,parking_entry_wait_wgt,kiosk_wait_wgt,department_entrance_wait_wgt,department_exit_wait_wgt,parking_exit_wait_wgt,departure_wait_wgt,Rating
0,1:57:30,2:02:03,2:11:23,2:28:50,3:06:02,3:14:03,3:18:18,1:20:48,4,9,17,37,8,4,2.0769664490740474,5.190580362039352,5.737754585856212,3.5715172408797438,2.190943501959559,1.0503982014262843,7.0
1,2:58:38,3:03:20,3:13:15,3:38:54,4:07:44,4:17:43,4:24:06,1:25:28,4,9,25,28,9,6,2.4170369743865354,4.386032458027802,6.6190708547002775,4.088979301266495,2.5225831083267396,0.7488662823033496,6.0
2,20:14:06,20:19:32,20:30:49,20:50:48,21:37:31,21:45:49,21:51:01,1:36:55,5,11,19,46,8,5,1.8837651065939773,4.532014729043811,5.9814352565001165,3.6977229544622423,2.412552517936323,0.9774418179790694,6.0
3,14:03:12,14:09:03,14:20:41,14:38:06,15:25:30,15:30:57,15:35:30,1:32:18,5,11,17,47,5,4,2.2993042284858554,5.074494871693963,6.0637736645637395,4.009193086795717,2.2055370278362396,0.5477050376247394,6.0
4,3:42:23,3:47:04,4:00:55,4:24:13,5:21:05,5:29:44,5:35:02,1:52:39,4,13,23,56,8,5,1.5554899619173916,4.860631138234017,5.194556312296356,3.892415886093608,2.0157174142201995,1.1496654290006498,5.0
5,7:57:00,8:01:02,8:11:51,8:37:22,9:25:23,9:36:12,9:41:04,1:44:04,4,10,25,48,10,4,2.7027845590145407,4.816339229524149,5.442588326319335,3.789568337892002,2.373569363702185,1.2213097292803212,6.0
6,0:28:50,0:33:46,0:48:25,1:01:00,1:59:22,2:08:08,2:13:05,1:44:15,4,14,12,58,8,4,1.1770141573611022,4.990785091748684,6.531862275594473,3.615852153498608,2.4504546285339233,1.622697939304501,6.0
7,0:09:35,0:16:23,0:24:24,0:38:47,1:10:15,1:23:03,1:28:57,1:19:22,6,8,14,31,12,5,1.8280364400136628,5.458414852452391,6.2693923180377835,3.6158130941655626,2.2633497701519376,0.7979520649218143,8.0
8,4:32:22,4:38:47,4:51:53,5:09:16,5:59:26,6:08:48,6:15:16,1:42:54,6,13,17,50,9,6,2.3342356261659685,4.9506101359918135,5.688267104753553,4.035750572249204,1.5060471845117593,1.4681519628852973,6.0
9,15:17:16,15:22:31,15:34:54,15:55:21,16:54:31,17:00:17,17:06:22,1:49:06,5,12,20,59,5,6,1.741870155653607,4.559785125438744,6.135659277255497,3.337965740452494,2.7764276684775817,1.1146803237141905,6.0
10,16:58:07,17:04:44,17:13:13,17:24:42,17:59:28,18:09:19,18:14:12,1:16:05,6,8,11,34,9,4,2.028470040400792,5.475608148578069,6.0086275965348515,3.84521737251637,1.821013838547278,0.9532243602605388,8.0
11,23:22:21,23:26:02,23:37:11,23:51:11,0:27:07,0:35:54,0:41:47,1:19:26,3,11,14,35,8,5,1.4489553692669204,4.364625151630419,6.001834139317628,3.516402310526833,2.457603650639032,1.3470101924208548,7.0
12,5:47:59,5:53:51,6:04:18,6:28:54,7:06:49,7:16:57,7:22:11,1:34:12,5,10,24,37,10,5,0.5878085655971219,4.8806810804096985,4.82652569722042,3.6206470005601803,2.1317464283431695,1.0223933699002041,7.0
13,6:49:10,6:54:09,7:05:39,7:23:30,8:14:59,8:23:20,8:28:46,1:39:36,4,11,17,51,8,5,2.030428798060176,5.923219324123065,5.905296135652304,4.058736180224997,2.4588263987568015,1.637797519260122,6.0
14,19:02:14,19:06:59,19:14:25,19:30:06,20:21:24,20:32:22,20:37:58,1:35:44,4,7,15,51,10,5,1.8788964567468174,5.551824028200457,6.1721331702502855,4.386530827423723,1.9714363133264254,2.0122901285163133,6.0
15,0:11:53,0:16:06,0:25:21,0:48:17,1:41:20,1:52:07,1:57:09,1:45:16,4,9,22,53,10,5,1.9028870973914787,4.423187844840418,5.727212352337051,4.466337940148896,1.9586636778725852,1.036909755084685,5.0
16,12:30:10,12:33:56,12:43:41,13:06:07,13:45:17,13:57:21,14:02:23,1:32:13,3,9,22,39,12,5,2.4079412636289663,4.790320664153265,6.018756842585936,3.891478512401896,2.447381958444513,0.7963781712479748,6.0
17,23:33:26,23:38:10,23:47:19,0:08:29,0:51:28,1:03:23,1:05:51,1:32:25,4,9,21,42,11,2,1.5457326752618512,4.3956271622795535,5.750864846817607,4.080521321808036,1.9937918091985887,0.8230240177242221,6.0
18,14:26:17,14:30:21,14:45:09,15:05:15,15:33:19,15:38:58,15:41:13,1:14:56,4,14,20,28,5,2,1.9114802030809708,4.8544459159115485,5.348274763173334,4.237209224049736,1.7238496084839687,1.5811646779811257,7.0
19,9:08:55,9:14:06,9:24:55,9:41:51,10:20:59,10:32:02,10:36:53,1:27:58,5,10,16,39,11,4,1.9516008212588194,4.966777243636546,6.564119764917166,3.5408838304595687,2.131642057861929,1.109979778407882,7.0
20,17:35:47,17:39:59,17:50:19,18:02:24,18:45:25,18:54:57,18:58:36,1:22:49,4,10,12,43,9,3,1.528463852513558,5.722566748241565,6.239745777616856,4.4735932855251015,1.7649710049559488,0.6998625155171918,7.0
21,4:43:11,4:47:44,4:58:29,5:22:59,6:23:32,6:36:55,6:40:45,1:57:34,4,10,24,60,13,3,1.8316785103904678,4.9940088469242205,5.667859237424667,3.646585993907414,2.6531983986652676,0.8615731294125162,5.0
22,7:47:55,7:53:47,8:06:11,8:21:27,9:06:11,9:17:01,9:22:44,1:34:49,5,12,15,44,10,5,1.5207039923074994,4.697539991689267,5.6837084159553894,3.866008562028179,1.7546439526497768,1.5232373605177822,7.0
23,3:37:25,3:42:24,3:51:51,4:08:40,4:53:49,5:04:25,5:08:38,1:31:13,4,9,16,45,10,4,1.5981951665304663,4.830018700285327,6.331566870119998,4.104659858064799,1.3096339458928994,1.692260670485176,6.0
24,14:22:13,14:28:16,14:39:09,14:50:57,15:43:23,15:50:31,15:55:48,1:33:35,6,10,11,52,7,5,1.650671640710942,4.870183044120166,6.105948003616393,4.298436698736479,2.001697912003433,-0.22083014263943834,6.0
25,14:14:55,14:19:30,14:31:28,14:48:29,15:42:56,15:53:01,15:57:52,1:42:57,4,11,17,54,10,4,1.418082356041801,4.990992596622483,6.1458775496310585,3.7663516945614517,2.0329789755020857,1.504172147180784,6.0
26,14:13:08,14:19:42,14:29:50,14:52:19,15:39:40,15:53:14,15:58:33,1:45:25,6,10,22,47,13,5,1.129969337060818,4.648692175478173,6.285522605676122,3.8036130468119054,2.1413638227108853,0.9592660776487525,6.0
27,5:11:54,5:15:44,5:27:27,5:51:17,6:32:48,6:41:48,6:47:14,1:35:20,3,11,23,41,9,5,2.42266407650687,4.230231438390662,5.42365512083077,4.3888391236387925,1.2791761388908864,0.9981743839397198,6.0
28,5:33:49,5:38:20,5:48:18,6:09:39,6:51:47,7:03:19,7:08:26,1:34:37,4,9,21,42,11,5,1.4720366744390638,4.069362315069599,6.3355290573191585,3.7158330597014215,2.091659151068452,0.7842052695977185,6.0
29,19:50:55,19:57:14,20:06:02,20:30:02,21:12:55,21:24:15,21:28:29,1:37:34,6,8,24,42,11,4,1.2510211469598613,5.241939897696123,5.430920440488295,4.083856904349491,1.4524589014245604,0.7861155210506928,6.0
30,13:58:36,14:03:50,14:11:29,14:28:12,14:57:36,15:09:31,15:14:33,1:15:57,5,7,16,29,11,5,2.2671319711352536,5.4647028066915375,6.614086220107772,4.153551099338416,1.692806149227766,0.5807511632972242,7.0
31,15:21:47,15:25:57,15:38:27,15:58:03,16:44:11,16:54:57,17:00:59,1:39:12,4,12,19,46,10,6,1.6106283627470215,4.704267531300747,5.9305055149644526,4.444393075522312,1.4860368347995014,0.46851568829419243,6.0
32,9:40:12,9:44:46,9:55:45,10:17:13,10:57:48,11:09:25,11:14:22,1:34:10,4,10,21,40,11,4,2.1692691733596243,4.510164657372374,5.708589466596847,4.104438390105846,2.3512658678572222,1.6180300511736854,6.0
33,22:17:18,22:23:10,22:35:44,22:53:04,23:39:29,23:49:42,23:55:11,1:37:53,5,12,17,46,10,5,1.4516314699289743,5.491750677861065,5.315984968235988,3.9275286719315456,1.9192929563910468,1.3028451109017245,6.0
34,23:13:44,23:18:40,23:31:44,23:54:28,0:35:19,0:45:38,0:51:20,1:37:36,4,13,22,40,10,5,2.0022001633182733,4.539316100884046,6.0112743045906765,4.154348240207272,2.492059882344273,1.3766959829190082,6.0
35,8:20:04,8:26:33,8:35:15,8:51:43,9:31:56,9:40:27,9:47:38,1:27:34,6,8,16,40,8,7,2.9044016102800754,4.837100448184972,6.065733249781136,4.411025512323468,2.591318197227067,1.257077950328007,6.0
36,12:37:42,12:43:24,12:54:59,13:13:04,13:55:55,14:02:44,14:06:47,1:29:05,5,11,18,42,6,4,1.5070145172097509,5.288838717827877,5.635820516566913,4.6913641011953064,2.3890769916750516,1.3130119750842137,6.0
37,2:10:13,2:14:24,2:26:02,2:44:33,3:31:19,3:41:49,3:46:12,1:35:59,4,11,18,46,10,4,2.5836203637958866,5.010382525678998,5.7230936363840295,3.4896337448850225,1.8606675955224836,1.3753303353356046,6.0
38,0:50:15,0:55:51,1:04:10,1:23:25,2:02:37,2:10:39,2:15:41,1:25:26,5,8,19,39,8,5,1.622655789627843,5.066501486965021,5.635358216251582,4.68034372617974,1.7723922974959527,1.556014134441952,6.0
39,12:36:14,12:40:01,12:49:59,13:11:17,13:58:19,14:06:17,14:10:56,1:34:42,3,9,21,47,7,4,2.2297933883132464,5.290109977828141,5.457334335604905,3.8656320252705862,2.234095573613855,0.8568759830398404,6.0
40,23:32:08,23:36:01,23:46:50,0:02:39,0:40:19,0:46:10,0:48:40,1:16:32,3,10,15,37,5,2,1.5668458275649269,4.748810657916888,5.88702472862637,4.261158404013998,1.734364387270879,1.135295129360378,7.0
41,6:45:20,6:49:48,6:56:08,7:10:31,7:48:01,7:53:36,7:59:03,1:13:43,4,6,14,37,5,5,1.8171840727456017,5.65708150157047,6.179029750933361,3.9255985681309027,2.1769196640967823,1.3991984349426476,7.0
42,7:11:50,7:18:04,7:28:12,7:50:28,8:37:13,8:46:51,8:50:17,1:38:27,6,10,22,46,9,3,1.5325625072039009,4.838792115676355,6.398163826131958,4.555544784834252,2.41705073636551,1.652068497585031,5.0
43,19:17:35,19:24:36,19:33:47,19:57:44,20:40:38,20:50:55,20:56:12,1:38:37,7,9,23,42,10,5,1.7804230074050311,5.369464458716466,5.243958022555958,3.843782771677382,1.2318410662012664,0.9911465179289511,6.0
44,10:41:34,10:46:41,10:53:35,11:14:24,11:47:44,11:56:08,12:00:52,1:19:18,5,6,20,33,8,4,2.1922696618950805,5.123167700320764,6.126700553304598,4.15996004806066,1.8199974222660344,0.6283594313034302,7.0
45,3:07:00,3:12:34,3:20:37,3:38:36,4:23:07,4:32:59,4:39:21,1:32:21,5,8,17,44,9,6,2.5351497305009247,4.927447974800011,6.229612342956144,3.9736674487407733,1.004167924565524,0.8927828630159588,7.0
46,21:04:58,21:09:45,21:20:28,21:39:25,22:34:01,22:45:34,22:50:25,1:45:27,4,10,18,54,11,4,1.6446640814369113,5.258107665609258,6.549227313252582,4.060698569691849,1.6867531351115403,1.4070108178118612,5.0
47,10:32:03,10:36:58,10:44:09,11:03:19,11:49:56,12:00:41,12:05:14,1:33:11,4,7,19,46,10,4,1.9460333694949843,4.525294647237347,6.209900423219609,3.792721165684325,1.4751143963140647,0.8875165382861101,6.0
48,19:48:16,19:53:45,20:00:52,20:23:31,21:03:02,21:16:38,21:18:48,1:30:32,5,7,22,39,13,2,2.0653260825268505,5.0539768045208895,5.929427874746919,4.26507287768594,1.9864501201445983,1.7453845510807164,6.0
49,14:54:42,15:00:45,15:09:39,15:32:31,16:10:05,16:20:34,16:25:57,1:31:15,6,8,22,37,10,5,2.542571916543511,6.023489251725291,5.415830009138817,3.3766596330131358,2.694053429796534,1.016097988814177,7.0
50,10:28:09,10:33:49,10:41:02,10:58:10,11:45:11,11:53:25,11:57:14,1:29:05,5,7,17,47,8,3,1.4368386993957967,4.720178087267352,6.576210563393506,4.135203444516937,1.6717358959357493,0.6178681409254109,6.0
51,7:01:29,7:05:29,7:13:38,7:31:53,8:17:55,8:31:04,8:35:45,1:34:16,4,8,18,46,13,4,2.173838983517417,4.712141067800814,5.620383839987493,4.8143680294179845,2.005681764554879,0.913323581529174,6.0
52,15:16:35,15:22:48,15:31:22,15:53:05,16:35:14,16:44:18,16:48:48,1:32:13,6,8,21,42,9,4,2.534585953332921,5.005505928014455,5.773036703741295,4.145341472974369,3.0076401525712173,1.0394283460372642,6.0
53,5:52:11,5:58:11,6:12:49,6:33:35,7:22:52,7:32:45,7:36:32,1:44:21,6,14,20,49,9,3,1.866757997000699,5.426823483768148,6.442081769034582,3.545355428890117,2.661085488662693,1.4828556711621967,5.0
54,0:14:48,0:18:54,0:30:20,0:41:45,1:23:30,1:35:24,1:41:13,1:26:25,4,11,11,41,11,5,2.127779361837992,4.659165829614371,5.364068911457634,3.4407847274620065,1.965889273063173,0.7549790987361396,8.0
55,10:10:35,10:16:20,10:26:32,10:36:07,11:20:49,11:29:55,11:35:03,1:24:28,5,10,9,44,9,5,2.736083550866705,4.936858759590207,6.040756560760591,4.005009901368545,2.115855738981544,1.5850860595022334,7.0
56,12:05:51,12:10:38,12:19:59,12:49:06,13:38:53,13:48:02,13:53:08,1:47:17,4,9,29,49,9,5,2.2146876980122063,5.1442632770895855,6.509420151975506,3.884097430158101,1.7767892016526061,0.5446270790387875,5.0
57,23:10:23,23:14:12,23:24:21,23:41:45,0:26:26,0:36:52,0:43:10,1:32:47,3,10,17,44,10,6,1.8472527561228573,4.268684502297321,6.346686610730057,3.903730448850846,1.146564300436475,0.35432637421302937,7.0
58,4:40:49,4:45:42,4:59:28,5:25:31,6:21:27,6:31:09,6:33:35,1:52:46,4,13,26,55,9,2,2.0481974817216484,4.845398699099904,5.629719627463702,4.555104081624726,2.0062899495380986,1.5367639377688442,4.0
59,19:50:17,19:55:04,20:05:37,20:21:41,21:05:39,21:16:31,21:22:43,1:32:26,4,10,16,43,10,6,1.431946989546038,5.331585516382831,6.545798707867893,4.507535878971839,2.1621795064048097,1.304112150620152,6.0
60,0:29:08,0:33:46,0:42:43,1:04:53,1:40:58,1:50:40,1:55:11,1:26:03,4,8,22,36,9,4,2.0186275098913784,5.429218586587924,6.626256281268113,4.322905521582622,2.2143020231056125,1.4233909219670944,6.0
61,19:21:00,19:25:15,19:37:11,19:56:11,20:53:00,21:02:20,21:07:58,1:46:58,4,11,19,56,9,5,1.6348545947191546,5.613397261673875,5.437626603100855,4.370803122364359,1.3351616579700862,1.3268288767409484,5.0
62,9:51:23,9:58:04,10:07:43,10:25:20,11:13:01,11:22:11,11:28:54,1:37:31,6,9,17,47,9,6,1.6791173202322485,4.663892315541542,5.408519169295923,3.5360785905665892,1.5836215738682433,1.7284116228419606,7.0
63,9:48:04,9:51:47,10:00:51,10:24:52,11:13:58,11:23:12,11:28:53,1:40:49,3,9,24,49,9,5,2.2210624704144584,4.6800543476200245,6.355212831659889,4.085501101554004,2.3072855320788195,1.005472435708529,5.0
64,5:37:44,5:45:07,5:57:42,6:16:39,7:01:08,7:08:26,7:12:25,1:34:41,7,12,18,44,7,3,1.6710504499748093,5.277636054308074,6.081538808390407,3.8650172337473725,1.7835232084757242,1.0116412912459352,6.0
65,18:15:36,18:19:45,18:31:01,18:48:32,19:29:57,19:40:15,19:46:07,1:30:31,4,11,17,41,10,5,1.7145328124968187,5.131946475633981,6.658609125292194,4.64687878174729,1.6896029856161543,1.2206596294442675,6.0
66,16:14:57,16:19:04,16:29:06,16:52:25,17:36:59,17:47:12,17:51:49,1:36:52,4,10,23,44,10,4,1.510299443252043,5.352170300472327,5.703502004995018,3.3095678396905557,2.3329676323080673,0.7260662756403584,6.0
67,11:24:36,11:30:16,11:39:52,12:00:10,12:50:08,13:00:51,13:06:27,1:41:51,5,9,20,49,10,5,1.7451970495959266,4.485279307102936,6.373051094851285,3.598172376064183,1.8493493754814923,1.1337471988923082,6.0
68,2:51:09,2:55:21,3:03:33,3:27:18,4:03:59,4:12:29,4:17:05,1:25:56,4,8,23,36,8,4,2.3020615263497133,5.00509547482993,5.482673402337759,3.8241361977435173,2.2957809540650764,1.23522892960606,7.0
69,16:26:47,16:30:57,16:39:57,16:55:22,17:35:02,17:44:40,17:50:47,1:24:00,4,9,15,39,9,6,2.204361307263128,4.957339787644375,6.72956991913931,4.317392552821002,2.976533847945152,1.9642570880941241,6.0
70,11:16:32,11:21:16,11:27:56,11:48:29,12:35:51,12:46:02,12:51:49,1:35:17,4,6,20,47,10,5,2.0941035945206252,4.433096310401598,6.113636298412015,4.0433950371815,1.6591092432992625,1.249047875076589,6.0
71,20:44:09,20:48:58,20:56:18,21:18:15,21:56:24,22:08:09,22:11:27,1:27:18,4,7,21,38,11,3,2.0511010872908786,5.34604534126265,6.5077941224493046,4.1316777836615834,2.8505499247309096,1.1675246330990077,6.0
72,4:13:25,4:18:36,4:29:35,4:49:52,5:40:27,5:49:40,5:54:39,1:41:14,5,10,20,50,9,4,2.2444041012648936,5.134269759466214,6.2149541647083835,4.0656037662159585,1.961040824867407,1.0369109749073306,6.0
